"Balma Gramont","06.00","06.35","07.05","07.35","08.05","08.40","09.25","10.05","10.45","11.25","12.05","12.45","13.25","14.05","14.45","15.25","16.00","16.30","17.00","17.30","18.00","18.30","19.00","19.40","20.20","21.00"
"A&eacute;rostiers","06.03","06.38","07.08","07.38","08.08","08.43","09.28","10.08","10.48","11.28","12.08","12.48","13.28","14.08","14.48","15.28","16.03","16.33","17.03","17.33","18.03","18.33","19.03","19.43","20.23","21.03"
"Sali&egrave;ge","06.04","06.39","07.09","07.39","08.09","08.44","09.29","10.09","10.49","11.29","12.09","12.49","13.29","14.09","14.49","15.29","16.04","16.34","17.04","17.34","18.04","18.34","19.04","19.44","20.24","21.04"
"Ribaute","06.09","06.44","07.14","07.45","08.15","08.50","09.35","10.14","10.54","11.34","12.14","12.54","13.35","14.14","14.54","15.35","16.10","16.40","17.10","17.40","18.10","18.40","19.10","19.49","20.29","21.09"
"Entiore","06.11","06.46","07.16","07.47","08.17","08.52","09.37","10.16","10.56","11.36","12.16","12.56","13.37","14.16","14.56","15.37","16.12","16.42","17.12","17.42","18.12","18.42","19.12","19.51","20.31","21.11"
"Chouvel","06.15","06.50","07.20","07.51","08.21","08.56","09.41","10.20","11.00","11.40","12.20","13.00","13.41","14.20","15.00","15.41","16.16","16.46","17.16","17.46","18.16","18.46","19.16","19.55","20.35","21.15"
"Ctre Cial St-Orens","06.18","06.53","07.24","07.55","08.25","09.00","09.45","10.24","11.03","11.43","12.23","13.03","13.45","14.24","15.04","15.45","16.20","16.50","17.20","17.50","18.20","18.50","19.20","19.58","20.38","21.18"
"Coustou","06.22","06.57","07.29","08.00","08.30","09.05","09.50","10.29","11.08","11.48","12.28","13.08","13.50","14.29","15.09","15.50","16.25","16.55","17.25","17.55","18.25","18.54","19.24","20.02","20.42","21.22"
"Labouilhe","06.25","07.00","07.33","08.04","08.34","09.09","09.54","10.33","11.12","11.52","12.32","13.12","13.55","14.34","15.14","15.55","16.30","17.00","17.30","18.00","18.30","18.58","19.28","20.06","20.46","21.26"
"St-Orens Lyc&eacute;e","06.28","07.03","07.36","08.07","08.37","09.12","09.57","10.36","11.15","11.55","12.34","13.15","13.58","14.37","15.17","15.58","16.33","17.03","17.34","18.04","18.34","19.01","19.31","20.09","20.49","21.29"
